type	name	value	zone	address	bytes	access	other
Factory	GPIOA_ODR	0x80	Memory	0x48000014	4	readWrite	strong	
Factory	GPIOA_BSRR	0x0	Memory	0x48000018	4	writeOnly	strong	
Factory	GPIOA_LCKR	0x0	Memory	0x4800001c	4	readWrite	strong	
Factory	GPIOA_AFRL	0x0	Memory	0x48000020	4	readWrite	strong	
Factory	GPIOA_AFRH	0x0	Memory	0x48000024	4	readWrite	strong	
Factory	GPIOA_BRR	0x0	Memory	0x48000028	4	writeOnly	strong	
Factory	SPI1_CR1	0x0	Memory	0x40013000	4	readWrite	strong	
Factory	SPI1_CR2	0x0	Memory	0x40013004	4	readWrite	strong	
Factory	SPI1_SR	0x0	Memory	0x40013008	4	readWrite	strong	
Factory	SPI1_DR	0x0	Memory	0x4001300c	4	readWrite	strong	
Factory	SPI1_CRCPR	0x0	Memory	0x40013010	4	readWrite	strong	
Factory	SPI1_RXCRCR	0x0	Memory	0x40013014	4	readOnly	strong	
Factory	SPI1_TXCRCR	0x0	Memory	0x40013018	4	readOnly	strong	
Factory	SPI1_I2SCFGR	0x0	Memory	0x4001301c	4	readWrite	strong	
Factory	SPI1_I2SPR	0x0	Memory	0x40013020	4	readWrite	strong	
Factory	SPI2_CR1	0x0	Memory	0x40003800	4	readWrite	strong	
Factory	SPI2_CR2	0x0	Memory	0x40003804	4	readWrite	strong	
Factory	SPI2_SR	0x0	Memory	0x40003808	4	readWrite	strong	
Factory	SPI2_DR	0x0	Memory	0x4000380c	4	readWrite	strong	
Factory	SPI2_CRCPR	0x0	Memory	0x40003810	4	readWrite	strong	
Factory	SPI2_RXCRCR	0x0	Memory	0x40003814	4	readOnly	strong	
Factory	SPI2_TXCRCR	0x0	Memory	0x40003818	4	readOnly	strong	
Factory	SPI2_I2SCFGR	0x0	Memory	0x4000381c	4	readWrite	strong	
Factory	SPI2_I2SPR	0x0	Memory	0x40003820	4	readWrite	strong	
Factory	PWR_CR	0x0	Memory	0x40007000	4	readWrite	strong	
Factory	PWR_CSR	0x8	Memory	0x40007004	4	readWrite	strong	
Factory	I2C1_CR1	0x0	Memory	0x40005400	4	readWrite	strong	
Factory	I2C1_CR2	0x0	Memory	0x40005404	4	readWrite	strong	
Factory	I2C1_OAR1	0x0	Memory	0x40005408	4	readWrite	strong	
Factory	I2C1_OAR2	0x0	Memory	0x4000540c	4	readWrite	strong	
Factory	I2C1_TIMINGR	0x0	Memory	0x40005410	4	readWrite	strong	
Factory	I2C1_TIMEOUTR	0x0	Memory	0x40005414	4	readWrite	strong	
Factory	I2C1_ISR	0x1	Memory	0x40005418	4	readWrite	strong	
Factory	I2C1_ICR	0x0	Memory	0x4000541c	4	writeOnly	strong	
Factory	I2C1_PECR	0x0	Memory	0x40005420	4	readOnly	strong	
Factory	I2C1_RXDR	0x0	Memory	0x40005424	4	readOnly	strong	
Factory	I2C1_TXDR	0x0	Memory	0x40005428	4	readWrite	strong	
Factory	I2C2_CR1	0x0	Memory	0x40005800	4	readWrite	strong	
Factory	I2C2_CR2	0x0	Memory	0x40005804	4	readWrite	strong	
Factory	I2C2_OAR1	0x0	Memory	0x40005808	4	readWrite	strong	
Factory	I2C2_OAR2	0x0	Memory	0x4000580c	4	readWrite	strong	
Factory	I2C2_TIMINGR	0x0	Memory	0x40005810	4	readWrite	strong	
Factory	I2C2_TIMEOUTR	0x0	Memory	0x40005814	4	readWrite	strong	
Factory	I2C2_ISR	0x0	Memory	0x40005818	4	readWrite	strong	
Factory	I2C2_ICR	0x0	Memory	0x4000581c	4	writeOnly	strong	
Factory	I2C2_PECR	0x0	Memory	0x40005820	4	readOnly	strong	
Factory	I2C2_RXDR	0x0	Memory	0x40005824	4	readOnly	strong	
Factory	I2C2_TXDR	0x0	Memory	0x40005828	4	readWrite	strong	
Factory	IWDG_KR	0x0	Memory	0x40003000	4	writeOnly	strong	
Factory	IWDG_PR	0x0	Memory	0x40003004	4	readWrite	strong	
Factory	IWDG_RLR	0xfff	Memory	0x40003008	4	readWrite	strong	
Factory	IWDG_SR	0x0	Memory	0x4000300c	4	readOnly	strong	
Factory	IWDG_WINR	0xfff	Memory	0x40003010	4	readWrite	strong	
Factory	WWDG_CR	0x7f	Memory	0x40002c00	4	readWrite	strong	
Factory	WWDG_CFR	0x7f	Memory	0x40002c04	4	readWrite	strong	
Factory	WWDG_SR	0x0	Memory	0x40002c08	4	readWrite	strong	
Factory	TIM1_CR1	0x0	Memory	0x40012c00	4	readWrite	strong	
Factory	TIM1_CR2	0x0	Memory	0x40012c04	4	readWrite	strong	
Factory	TIM1_SMCR	0x0	Memory	0x40012c08	4	readWrite	strong	
Factory	TIM1_DIER	0x0	Memory	0x40012c0c	4	readWrite	strong	
Factory	TIM1_SR	0x0	Memory	0x40012c10	4	readWrite	strong	
Factory	TIM1_EGR	0x0	Memory	0x40012c14	4	writeOnly	strong	
Factory	TIM1_CCMR1_Output	0x0	Memory	0x40012c18	4	readWrite	strong	
Factory	TIM1_CCMR1_Input	0x0	Memory	0x40012c18	4	readWrite	strong	
Factory	TIM1_CCMR2_Output	0x0	Memory	0x40012c1c	4	readWrite	strong	
Factory	TIM1_CCMR2_Input	0x0	Memory	0x40012c1c	4	readWrite	strong	
Factory	TIM1_CCER	0x0	Memory	0x40012c20	4	readWrite	strong	
Factory	TIM1_CNT	0x0	Memory	0x40012c24	4	readWrite	strong	
Factory	TIM1_PSC	0x0	Memory	0x40012c28	4	readWrite	strong	
Factory	TIM1_ARR	0x0	Memory	0x40012c2c	4	readWrite	strong	
Factory	TIM1_RCR	0x0	Memory	0x40012c30	4	readWrite	strong	
Factory	TIM1_CCR1	0x0	Memory	0x40012c34	4	readWrite	strong	
Factory	TIM1_CCR2	0x0	Memory	0x40012c38	4	readWrite	strong	
Factory	TIM1_CCR3	0x0	Memory	0x40012c3c	4	readWrite	strong	
Factory	TIM1_CCR4	0x0	Memory	0x40012c40	4	readWrite	strong	
Factory	TIM1_BDTR	0x0	Memory	0x40012c44	4	readWrite	strong	
Factory	TIM1_DCR	0x0	Memory	0x40012c48	4	readWrite	strong	
Factory	TIM1_DMAR	0x0	Memory	0x40012c4c	4	readWrite	strong	
Factory	TIM3_CR1	0x1	Memory	0x40000400	4	readWrite	strong	
Factory	TIM3_CR2	0x0	Memory	0x40000404	4	readWrite	strong	
Factory	TIM3_SMCR	0x0	Memory	0x40000408	4	readWrite	strong	
Factory	TIM3_DIER	0x1	Memory	0x4000040c	4	readWrite	strong	
Factory	TIM3_SR	0x1e	Memory	0x40000410	4	readWrite	strong	
Factory	TIM3_EGR	0x0	Memory	0x40000414	4	writeOnly	strong	
Factory	TIM3_CCMR1_Output	0x0	Memory	0x40000418	4	readWrite	strong	
Factory	TIM3_CCMR1_Input	0x0	Memory	0x40000418	4	readWrite	strong	
